GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
api,com.practo.jedi.carpool.run,Application,14,3,0,0,3,1,2,1,2,1
api,com.practo.jedi.carpool.data.repository,UserRepository,3,21,0,0,2,5,0,3,0,3
api,com.practo.jedi.carpool.data.repository,SourceRepository,0,5,0,0,0,2,0,2,0,2
api,com.practo.jedi.carpool.data.repository,AddressRepository,6,24,0,0,2,5,0,3,0,3
api,com.practo.jedi.carpool.data.repository,ListingRepository,125,49,23,5,20,13,14,4,0,4
api,com.practo.jedi.carpool.data.repository,BookingRepository,0,40,0,0,0,11,0,4,0,4
api,com.practo.jedi.carpool.data.repository,EntityRepositoryImpl,17,54,0,0,3,13,0,5,0,5
api,com.practo.jedi.carpool.data.repository,VehicleRepository,0,40,0,0,0,10,0,4,0,4
api,com.practo.jedi.carpool.data.dto,ListingFilterDTO,9,49,0,0,4,21,1,12,1,12
api,com.practo.jedi.carpool.data.entity,Booking,0,52,0,0,0,22,0,15,0,15
api,com.practo.jedi.carpool.data.entity,Listing,0,93,0,0,0,38,0,25,0,25
api,com.practo.jedi.carpool.data.entity,Vehicle,0,79,0,0,0,32,0,21,0,21
api,com.practo.jedi.carpool.data.entity,Address,0,85,0,0,0,33,0,21,0,21
api,com.practo.jedi.carpool.data.entity,Source,0,65,0,0,0,26,0,17,0,17
api,com.practo.jedi.carpool.data.entity,User,0,98,0,0,0,37,0,23,0,23
api,com.practo.jedi.carpool.controller,ListingController,148,6,12,0,33,2,13,1,7,1
api,com.practo.jedi.carpool.controller,VehicleController,117,3,10,0,26,1,10,1,5,1
api,com.practo.jedi.carpool.controller,UserController,107,3,10,0,26,1,10,1,5,1
api,com.practo.jedi.carpool.controller,BookingController,208,3,10,0,35,1,10,1,5,1
api,com.practo.jedi.carpool.controller,AddressController,107,3,10,0,26,1,10,1,5,1
api,com.practo.jedi.carpool.controller,SourceController,107,3,10,0,26,1,10,1,5,1
api,com.practo.jedi.carpool.controller,ApplicationController,201,6,14,0,50,2,13,1,6,1
api,com.practo.jedi.carpool.util,MailService,34,3,0,0,10,1,1,1,1,1
api,com.practo.jedi.carpool.util,Haversine,3,46,0,0,1,8,1,1,1,1
api,com.practo.jedi.carpool.util,Modifier,0,68,0,0,0,2,0,4,0,4
api,com.practo.jedi.carpool.service,VehicleServiceImpl,12,120,0,2,7,34,1,7,1,6
api,com.practo.jedi.carpool.service,ListingServiceImpl,80,196,4,8,24,56,5,9,1,7
api,com.practo.jedi.carpool.service,UserServiceImpl,15,113,0,2,9,33,1,8,1,7
api,com.practo.jedi.carpool.service,BookingServiceImpl,14,118,0,2,7,35,1,7,1,6
api,com.practo.jedi.carpool.service,AddressServiceImpl,12,99,0,2,7,29,1,7,1,6
api,com.practo.jedi.carpool.service,SourceServiceImpl,9,102,0,2,5,31,1,7,1,6
api,com.practo.jedi.carpool.model,AddressModel,8,85,2,6,1,27,2,14,1,11
api,com.practo.jedi.carpool.model,UserModel,5,80,2,4,1,26,2,12,0,11
api,com.practo.jedi.carpool.model,ListingModel,5,171,2,12,1,54,2,22,0,17
api,com.practo.jedi.carpool.model,VehicleModel,5,106,2,6,1,35,2,15,0,13
api,com.practo.jedi.carpool.model,BookingModel,5,87,4,6,1,28,4,10,0,9
api,com.practo.jedi.carpool.model,SourceModel,5,76,2,6,1,25,2,11,0,9
api,com.practo.jedi.carpool.exceptions,EntityNotFoundException,0,4,0,0,0,2,0,1,0,1
